id,respond,gender,age,numpurchase,totdol,region,addresstype
555,0,0,41,1,224,6,urban
556,0,1,46,2,943,1,urban
557,0,1,32,6,1941,1,rural
558,0,1,38,5,1019,1,rural
559,0,1,33,3,668,2,urban
560,0,1,43,2,53,4,rural
561,0,1,33,3,836,6,rural
562,0,1,37,1,235,1,urban
563,0,1,37,5,1039,3,rural
564,0,0,46,1,72,4,urban
565,0,0,29,2,118,1,urban
566,0,1,38,2,57,4,urban
567,0,0,39,1,122,2,urban
568,0,1,34,2,63,6,urban
569,0,1,36,3,553,6,rural
570,1,0,36,5,1690,1,urban
571,0,1,41,1,57,6,rural
572,0,1,34,2,214,2,urban
573,0,0,29,1,52,4,rural
574,0,1,37,1,51,6,rural
575,0,1,41,2,61,4,urban
576,0,0,35,2,182,5,rural
577,0,1,42,2,57,1,rural
578,0,1,45,1,66,1,urban
579,0,0,33,2,66,6,urban
580,1,1,36,2,57,6,urban
581,0,1,33,2,55,4,urban
582,0,1,42,2,474,1,urban
583,0,1,42,2,79,6,rural
584,0,1,36,3,68,2,urban
585,0,1,40,2,72,1,urban
586,0,1,36,2,84,5,rural
587,0,1,30,1,81,5,urban
588,0,1,40,4,956,2,rural
589,0,1,39,1,54,3,urban
590,0,0,42,1,77,1,rural
591,0,1,40,2,622,6,urban
592,0,0,37,2,110,6,urban
593,0,1,41,1,55,6,urban
594,0,1,28,1,127,3,urban
595,0,0,43,1,56,1,urban
596,0,1,38,1,51,4,rural
597,0,1,34,2,58,4,urban
598,0,0,38,1,61,4,rural
599,1,0,38,4,1478,2,rural
600,0,1,40,1,68,4,rural
601,1,1,37,1,66,4,urban
602,0,1,40,2,69,6,rural
603,0,1,39,2,92,1,rural
604,0,1,40,1,51,1,rural
605,0,1,37,1,67,6,urban
606,0,1,45,1,326,1,urban
607,0,1,36,8,4802,3,rural
608,0,1,41,1,132,2,rural
609,0,1,36,1,63,6,rural
610,0,1,38,1,71,2,urban
611,0,0,34,1,71,6,rural
612,0,1,35,3,1420,1,urban
613,0,1,34,2,221,5,rural
614,0,1,36,2,53,1,urban
615,0,0,38,1,75,1,urban
616,0,1,35,2,317,2,rural
617,0,0,39,2,73,3,rural
618,0,1,43,2,62,1,urban
619,0,1,30,2,128,4,rural
620,1,1,41,5,1719,6,urban
621,0,1,40,1,65,4,rural
622,0,1,32,1,75,6,rural
623,0,1,37,5,2101,1,urban
624,0,0,39,1,55,4,urban
625,0,0,42,2,55,2,urban
626,1,0,35,2,337,6,rural
627,0,1,39,4,451,6,urban
628,0,1,40,2,167,1,rural
629,0,0,39,1,57,1,urban
630,0,1,37,1,60,3,rural
631,1,1,34,1,222,5,urban
632,0,1,33,1,219,6,rural
633,0,1,38,1,70,1,rural
634,0,1,41,2,435,4,rural
635,0,1,44,1,71,2,rural
636,0,1,40,1,77,6,urban
637,0,0,36,1,129,4,urban
638,1,1,36,5,1653,6,rural
639,0,0,34,8,7076,2,rural
640,0,0,43,1,52,5,urban
641,0,1,41,1,101,6,rural
642,0,0,32,1,67,4,urban
643,0,0,36,1,54,3,rural
644,0,1,50,1,111,5,urban
645,1,0,35,4,1059,4,urban
646,1,1,52,7,3477,5,urban
647,0,0,32,1,52,4,urban
